symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BTC/USD,2021-01-01,29255.71,29338.25,29153.55,29234.15,42.244289,1243.0,29237.240312
BTC/USD,2021-01-01,29235.61,29236.95,28905.0,29162.5,34.506038,1070.0,29078.423185
BTC/USD,2021-01-01,29162.5,29248.52,28948.86,29076.77,27.596804,1110.0,29091.465155
BTC/USD,2021-01-01,29075.31,29372.32,29058.05,29284.92,20.6942,880.0,29248.730924
BTC/USD,2021-01-01,29291.54,29400.0,29232.16,29286.63,16.617646,742.0,29338.609132
BTC/USD,2021-01-01,29298.34,29478.45,29298.34,29396.28,35.204584,1112.0,29385.402443
BTC/USD,2021-01-01,29397.05,29680.75,29241.0,29311.47,61.983168,1466.0,29493.632033
BTC/USD,2021-01-01,29310.18,29556.28,29301.46,29535.0,30.266252,867.0,29450.031065
BTC/USD,2021-01-01,29535.0,29612.53,29344.81,29398.1,35.459289,1435.0,29469.057134
BTC/USD,2021-01-01,29398.09,29458.33,29107.01,29264.22,29.555473,1176.0,29313.511506
BTC/USD,2021-01-01,29263.69,29430.78,29202.3,29372.88,34.014278,1233.0,29354.596467
BTC/USD,2021-01-01,29371.42,29419.83,29025.81,29169.03,39.96426,1523.0,29242.840235
BTC/USD,2021-01-01,29167.47,29323.62,28707.56,29141.19,63.160447,2019.0,29054.000924
BTC/USD,2021-01-01,29141.19,29200.42,29021.44,29104.88,27.801492,1226.0,29124.32876
BTC/USD,2021-01-01,29101.63,29347.74,28954.89,29301.93,44.651873,1286.0,29230.637238
BTC/USD,2021-01-01,29299.38,29418.51,29228.75,29258.82,29.65316,1121.0,29320.01534
BTC/USD,2021-01-01,29257.35,29418.72,29200.0,29360.88,26.994948,1206.0,29356.448032
BTC/USD,2021-01-01,29360.87,29418.72,29310.98,29418.72,19.051551,1139.0,29382.322661
BTC/USD,2021-01-02,29417.27,29418.51,29050.0,29262.79,46.44488,1456.0,29224.982616
BTC/USD,2021-01-02,29266.83,29481.52,29175.42,29454.09,38.755897,1399.0,29353.240692
BTC/USD,2021-01-02,29454.09,29555.55,29399.99,29400.0,40.063932,1554.0,29472.987328
BTC/USD,2021-01-02,29400.0,29455.66,29335.09,29430.83,29.998793,1058.0,29417.065612
BTC/USD,2021-01-02,29430.83,29472.2,29301.47,29442.3,23.908495,871.0,29394.726111
BTC/USD,2021-01-02,29443.62,29682.29,29442.42,29676.79,50.282281,1447.0,29567.709802
BTC/USD,2021-01-02,29678.34,29820.43,29557.02,29799.96,55.882607,1718.0,29723.237458
BTC/USD,2021-01-02,29800.03,29890.0,29708.31,29833.6,38.868538,1453.0,29812.123456
BTC/USD,2021-01-02,29831.84,29920.68,29724.04,29912.39,36.354459,1399.0,29855.217265
BTC/USD,2021-01-02,29913.24,29955.8,29651.49,29696.32,39.812375,1411.0,29826.910587
BTC/USD,2021-01-02,29680.01,29892.7,29555.99,29745.0,32.141697,1090.0,29753.268809
BTC/USD,2021-01-02,29746.49,29847.12,29701.54,29832.0,20.643779,694.0,29787.639448
BTC/USD,2021-01-02,29826.12,30949.58,29808.76,30649.71,121.959981,3153.0,30404.626294
BTC/USD,2021-01-02,30651.25,31599.27,30565.04,31599.27,98.384824,2793.0,31073.519808
BTC/USD,2021-01-02,31599.27,31613.6,31139.15,31352.52,77.159754,2260.0,31334.445398
BTC/USD,2021-01-02,31339.03,31888.0,31302.48,31763.0,80.308968,2299.0,31553.015623
BTC/USD,2021-01-02,31763.0,33100.47,31763.0,32551.22,244.488728,5082.0,32481.217808
BTC/USD,2021-01-02,32525.77,33000.0,32461.72,32940.01,101.378913,3148.0,32739.524145
BTC/USD,2021-01-02,32940.01,33338.68,32515.63,33007.47,111.226347,2906.0,32864.086911
BTC/USD,2021-01-02,33027.57,33289.92,32772.47,33087.84,83.076149,3862.0,33070.053726
BTC/USD,2021-01-02,33087.83,33114.79,30564.32,30750.0,257.121197,5469.0,32043.752224
BTC/USD,2021-01-02,30705.04,31928.77,30380.0,31701.54,193.506795,4158.0,31382.276224
BTC/USD,2021-01-02,31701.54,32338.18,31429.11,32170.57,59.522764,2234.0,31987.677524
BTC/USD,2021-01-02,32177.77,32282.46,31661.41,32218.38,63.984524,2016.0,31976.253795
BTC/USD,2021-01-03,32200.39,32522.22,32010.68,32480.0,74.954908,2084.0,32279.176645
BTC/USD,2021-01-03,32480.66,32821.71,32257.81,32621.37,67.455209,2049.0,32635.808603
BTC/USD,2021-01-03,32589.92,32916.3,32589.67,32781.21,34.264855,1610.0,32762.591434
BTC/USD,2021-01-03,32779.13,32786.93,32500.0,32611.64,36.628147,1542.0,32675.433841
BTC/USD,2021-01-03,32613.51,33278.91,32486.48,33223.08,36.297493,1680.0,32804.613565
BTC/USD,2021-01-03,33232.87,34200.0,33146.25,33769.52,179.169505,4042.0,33847.359273
BTC/USD,2021-01-03,33769.52,34111.06,33690.0,33980.74,62.72875,1957.0,33957.021133
BTC/USD,2021-01-03,33988.68,34812.93,33777.0,34459.03,109.750179,3126.0,34471.763028
BTC/USD,2021-01-03,34485.63,34687.81,33839.0,34398.45,90.06908,2781.0,34346.275674
BTC/USD,2021-01-03,34399.65,34598.27,33861.74,34207.22,52.840636,2182.0,34171.251054
BTC/USD,2021-01-03,34215.17,34377.86,33487.45,33909.99,85.220025,2392.0,33904.555053
BTC/USD,2021-01-03,33891.64,34467.19,33823.51,34393.29,41.48491,1886.0,34152.060045
BTC/USD,2021-01-03,34433.52,34608.46,33984.8,34128.36,43.025823,1968.0,34266.533208
BTC/USD,2021-01-03,34141.13,34410.44,33840.12,33900.0,55.116133,2235.0,34126.668112
BTC/USD,2021-01-03,33900.0,34188.14,33545.0,33893.03,75.32602,2725.0,33868.686178
BTC/USD,2021-01-03,33906.75,33953.96,32850.0,33561.89,150.316218,3608.0,33325.927616
BTC/USD,2021-01-03,33565.02,33859.76,32649.91,32711.72,136.841899,3872.0,33343.433573
BTC/USD,2021-01-03,32711.71,33261.0,32511.26,32902.01,129.248464,3328.0,32903.880253
BTC/USD,2021-01-03,32948.48,33041.23,32300.61,32792.76,98.029569,2405.0,32684.457086
BTC/USD,2021-01-03,32775.92,32927.36,32473.78,32777.25,59.373348,2031.0,32672.882798
BTC/USD,2021-01-03,32780.05,33840.0,32738.56,33747.28,116.421073,3013.0,33483.39912
BTC/USD,2021-01-03,33743.18,33873.27,33513.08,33584.96,45.007289,1916.0,33694.51066
BTC/USD,2021-01-03,33581.08,33678.44,33030.82,33148.11,69.135511,2529.0,33370.224732
BTC/USD,2021-01-03,33154.67,33655.1,32733.62,33111.99,77.961839,2243.0,33244.016407
BTC/USD,2021-01-04,33086.17,33160.24,32465.89,32882.95,98.779347,2391.0,32822.718696
BTC/USD,2021-01-04,32892.45,33358.87,32641.92,33229.27,40.657281,1802.0,33039.982161
BTC/USD,2021-01-04,33226.91,33628.53,33002.57,33493.03,50.881241,1555.0,33295.863182
BTC/USD,2021-01-04,33505.3,33588.1,33218.67,33588.1,47.861523,1986.0,33430.398964
BTC/USD,2021-01-04,33581.25,33655.01,33254.95,33317.15,50.652389,2195.0,33467.273442
BTC/USD,2021-01-04,33355.09,33379.45,32868.43,32908.02,51.966886,2599.0,33165.93825
BTC/USD,2021-01-04,32907.36,33496.03,32891.72,33260.81,51.888474,2119.0,33197.168164
BTC/USD,2021-01-04,33260.81,33282.47,31776.0,32105.07,166.664359,3847.0,32373.750528
BTC/USD,2021-01-04,32150.0,32598.37,31474.87,32041.27,87.263558,2658.0,31979.902779
BTC/USD,2021-01-04,32059.24,32160.46,30313.0,31013.27,142.202113,3120.0,31146.853333
BTC/USD,2021-01-04,31003.65,31200.89,27900.0,30290.43,282.197063,3860.0,29605.38653
BTC/USD,2021-01-04,30288.21,30893.17,29422.11,30755.5,170.009265,2544.0,30122.825369
BTC/USD,2021-01-04,30752.39,31474.69,30472.29,31239.31,140.630731,2574.0,30975.048948
BTC/USD,2021-01-04,31252.4,31428.57,30628.21,31418.37,88.378486,2518.0,31031.890498
BTC/USD,2021-01-04,31418.36,32194.19,31418.36,32137.56,88.917763,2374.0,31817.215025
BTC/USD,2021-01-04,32157.7,32227.64,31585.05,31770.46,95.15426,2437.0,31896.973261
BTC/USD,2021-01-04,31771.05,31930.86,30750.25,31321.0,191.466984,3347.0,31172.832832
BTC/USD,2021-01-04,31321.0,31525.6,30611.17,31015.69,97.778944,3072.0,31090.327644
BTC/USD,2021-01-04,31015.68,31445.54,31000.0,31184.98,77.536456,2526.0,31241.307367
BTC/USD,2021-01-04,31176.25,31880.64,31121.56,31667.72,60.984682,2507.0,31529.729264
BTC/USD,2021-01-04,31684.64,31844.06,31210.68,31287.41,68.582087,2331.0,31516.371906
BTC/USD,2021-01-04,31267.04,31586.43,30864.57,31029.65,88.850448,2614.0,31145.463606
BTC/USD,2021-01-04,31034.11,31496.42,30980.18,31364.59,39.942737,1586.0,31273.871061
BTC/USD,2021-01-04,31364.89,32058.81,31179.73,32025.23,95.089039,2984.0,31664.213898
BTC/USD,2021-01-05,32025.23,32870.0,32025.23,32450.12,116.488079,3709.0,32496.949083
BTC/USD,2021-01-05,32450.11,32831.95,32285.76,32823.96,76.252204,3430.0,32564.962597
BTC/USD,2021-01-05,32825.61,32848.88,32272.12,32354.06,43.600221,2060.0,32591.415402
BTC/USD,2021-01-05,32345.48,32578.56,31170.17,31201.31,123.632263,3039.0,31805.551634
BTC/USD,2021-01-05,31211.31,31565.26,30467.65,30879.56,154.226294,4062.0,31181.783464
BTC/USD,2021-01-05,30908.67,31376.11,30029.69,30441.57,163.452993,3908.0,30733.305263
BTC/USD,2021-01-05,30461.84,31274.98,29927.55,31154.59,157.006517,3783.0,30547.643169
BTC/USD,2021-01-05,31136.31,31304.22,30770.41,30816.07,58.353853,2655.0,31058.376646
BTC/USD,2021-01-05,30817.62,31517.23,30817.62,31217.9,37.277658,2278.0,31246.52821
BTC/USD,2021-01-05,31217.42,31808.14,31184.47,31592.6,44.297356,2392.0,31496.881154
BTC/USD,2021-01-05,31592.6,31697.48,31129.59,31360.51,29.923993,1971.0,31385.880311
BTC/USD,2021-01-05,31369.56,31815.19,31312.02,31815.19,31.389426,1770.0,31552.552471
